Node,Community,Proximity to SOD1,Relative subgraph centrality,Subgraph centrality,Participation coefficient
4932.YMR287C,6,3,2.0182771719255005e-07,1.0001305781971577,0.6111111111111112
4932.YPR020W,6,3,2.2466893417163233e-06,1.0011629362974621,0.08677685950413228
4932.YPL172C,6,2,7.058294986676746e-05,1.0005997315186081,0.07396449704142016
4932.YJL116C,6,4,1.6624523079770276e-10,1.0000205570088856,0.0
4932.YGR033C,6,3,9.518968301964895e-07,1.000306514191369,0.2551020408163265
4932.YKL155C,13,2,9.942398379170258e-05,1.0010084562673698,0.39447731755424065
4932.Q0055,6,3,2.8246513371132714e-07,1.000162203088676,0.0
4932.YGR021W,6,2,2.574475442148835e-05,1.0001446292828589,0.5714285714285714
4932.YGL226W,6,3,1.0916331455897155e-06,1.0003503166024952,0.0
4932.YDR375C,6,2,2.6674767414112613e-05,1.0007326970191832,0.27887617065556713
4932.YDR178W,6,2,4.886816732501873e-05,1.001044249432907,0.48350459707950244
4932.Q0065,6,3,1.2532825310104106e-06,1.0003625508095486,0.1171875
4932.YLR067C,6,3,2.0209278903533497e-06,1.0007125573469065,0.3598615916955017
4932.YBR037C,6,1,0.006321535098422472,1.000359623581559,0.4140625
4932.YGL143C,13,3,9.757037067267436e-07,1.0001827100505634,0.0
4932.YDR148C,4,2,5.424235036391906e-05,1.0010116983996729,0.5233399079552925
4932.YHR066W,5,3,9.682654723110532e-07,1.0021786187368558,0.5200108166576528
4932.YBR118W,5,3,1.5260645688191079e-06,1.0017731241261707,0.32825484764542934
4932.YMR293C,13,4,2.741234897602786e-09,1.0001455561383061,0.0
4932.YPR166C,13,2,6.806891959250665e-05,1.0035803577404634,0.49897699795399586
4932.YDR119W-A,6,3,1.6120775292550538e-06,1.00063334917684,0.0
4932.YLR290C,6,3,4.7256528987790064e-07,1.0003394443527676,0.12444444444444447
4932.YLR204W,6,3,1.9359474821605878e-07,1.0000358574758623,0.5
4932.YEL024W,6,2,7.195618156569783e-05,1.0022119117878587,0.2758020031934969
4932.Q0275,6,2,1.891206140080585e-05,1.001174548861664,0.0
4932.YJL208C,19,3,2.788771894481941e-07,1.0001945641921013,0.617283950617284
4932.YLR304C,4,1,0.007121446538701288,1.001798217338354,0.6346406455244886
4932.YER053C,7,2,2.500240820388919e-05,1.000745237955608,0.5986159169550174
4932.YER058W,6,2,1.709721838670888e-05,1.000033369726118,0.5
4932.YDL107W,6,3,5.968440605507342e-07,1.0001300607666042,0.2777777777777778
4932.YDR256C,7,1,0.008004760033785457,1.0009588396456661,0.7086776859504132
4932.YOR202W,4,3,8.225593990880933e-07,1.0008466437381436,0.5113221329437545
4932.YBR120C,6,3,2.6383597091484106e-07,1.0001410462035896,0.24489795918367352
4932.YBR185C,6,3,1.255502546516053e-06,1.0003081930683746,0.40816326530612246
4932.YEL039C,6,2,4.7105583117551455e-05,1.0007642780143386,0.42872008324661814
4932.YPR134W,6,4,1.2218792079478e-09,1.0000889481847959,0.0
4932.YDR261C,15,4,1.8169052421433685e-09,1.0000836900761516,0.375
4932.Q0080,6,3,1.1214648004530953e-06,1.0005768331939227,0.07986111111111116
4932.YLR239C,4,3,3.1812320218413783e-07,1.0002046431659057,0.37037037037037035
4932.YLR333C,5,3,4.773510305471507e-06,1.005369858057071,0.20699167657550532
4932.YHL038C,6,4,4.205479110677528e-09,1.0001224035058311,0.0
4932.YKR087C,6,3,5.879001716611962e-07,1.0003514214440823,0.375
4932.YLR201C,6,3,4.1564992328394813e-07,1.0003813924642015,0.12444444444444447
4932.YJR047C,5,3,1.9184295610119822e-06,1.001223897036995,0.4251239669421487
4932.YAL039C,6,3,5.734054185303674e-07,1.000198714286265,0.40625
